Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,move_time_s,cluster,tiempo_optimo_s
2,1.9,5.4,08:25:49,08:26:22,4,1,33,1,20
9,3.05,20.18,08:26:27,08:27:00,4,3,33,0,35
4,6.64,5.46,08:27:05,08:27:38,4,4,33,1,20
5,2.67,13.94,08:27:43,08:28:16,4,2,33,1,20
6,1.66,14.43,08:28:21,08:28:54,4,1,33,0,35
8,3.11,22.65,08:28:59,08:29:32,4,3,33,0,35
4,2.94,9.22,08:29:37,08:30:10,4,4,33,1,20
8,2.08,14.12,08:30:15,08:30:48,4,2,33,0,35
5,1.29,5.66,08:30:53,08:31:26,4,1,33,1,20
10,3.44,15.55,08:31:31,08:32:04,4,3,33,0,35
1,0.0,2.94,08:32:09,08:32:42,4,4,33,1,20
4,2.97,11.51,08:32:47,08:33:20,4,2,33,1,20
7,2.78,7.01,08:33:25,08:33:58,4,1,33,1,20
3,2.88,4.8,08:34:03,08:34:36,4,3,33,1,20
5,2.92,16.33,08:34:41,08:35:14,4,4,33,0,35
4,3.42,6.83,08:35:19,08:35:52,4,2,33,1,20
0,0.0,2.81,08:35:57,08:36:30,4,1,33,1,20
6,3.0,9.88,08:36:35,08:37:08,4,3,33,1,20
4,3.36,6.3,08:37:13,08:37:46,4,4,33,1,20
3,1.21,6.21,08:37:51,08:38:24,4,2,33,1,20
5,2.44,6.07,08:38:29,08:39:02,4,1,33,1,20
11,2.83,20.97,08:39:07,08:39:40,4,3,33,0,35
1,0.0,2.25,08:39:45,08:40:18,4,4,33,1,20
3,1.62,7.95,08:40:23,08:40:56,4,2,33,1,20
9,1.93,9.61,08:41:01,08:41:34,4,1,33,0,35
9,2.11,16.4,08:41:39,08:42:12,4,3,33,0,35
5,2.85,9.71,08:42:17,08:42:50,4,4,33,1,20
4,5.42,6.08,08:42:55,08:43:28,4,2,33,1,20
8,3.73,7.83,08:43:33,08:44:06,4,1,33,1,20
5,2.62,8.45,08:44:11,08:44:44,4,3,33,1,20
2,0.83,2.01,08:44:49,08:45:22,4,4,33,1,20
10,2.7,28.04,08:45:27,08:46:00,4,2,33,0,35
8,3.2,7.0,08:46:05,08:46:38,4,1,33,1,20
9,3.11,10.16,08:46:43,08:47:16,4,3,33,0,35
9,1.93,14.53,08:47:21,08:47:54,4,4,33,0,35
8,1.99,17.37,08:47:59,08:48:32,4,2,33,0,35
3,12.46,8.62,08:48:37,08:49:10,4,1,33,2,37
7,2.19,15.0,08:49:15,08:49:48,4,3,33,0,35
9,1.95,20.63,08:49:53,08:50:26,4,4,33,0,35
5,1.73,16.86,08:50:31,08:51:04,4,2,33,0,35
6,1.42,5.5,08:51:09,08:51:42,4,1,33,1,20
2,4.92,3.52,08:51:47,08:52:20,4,3,33,1,23
2,2.75,2.19,08:52:25,08:52:58,4,4,33,1,20
10,2.35,13.57,08:53:03,08:53:36,4,2,33,0,35
1,0.0,0.73,08:53:41,08:54:14,4,1,33,1,20
9,2.21,19.52,08:54:19,08:54:52,4,3,33,0,35
4,5.22,11.97,08:54:57,08:55:30,4,4,33,1,20
3,3.0,8.85,08:55:35,08:56:08,4,2,33,1,20
9,2.58,10.24,08:56:13,08:56:46,4,1,33,0,35
6,2.3,16.36,08:56:51,08:57:24,4,3,33,0,35
7,1.76,11.73,08:57:29,08:58:02,4,4,33,0,35
12,1.77,30.63,08:58:07,08:58:40,4,2,33,0,35
14,1.17,14.34,08:58:45,08:59:18,4,1,33,0,35
6,5.92,6.71,08:59:23,08:59:56,4,3,33,1,23
2,10.33,2.64,09:00:01,09:00:34,4,4,33,2,23
6,1.78,17.65,09:00:39,09:01:12,4,2,33,0,35
2,0.08,1.33,09:01:17,09:01:50,4,1,33,1,20
3,2.08,3.14,09:01:55,09:02:28,4,3,33,1,20
5,1.6,7.58,09:02:33,09:03:06,4,4,33,1,20
1,0.0,2.79,09:03:11,09:03:44,4,2,33,1,20
8,1.46,11.86,09:03:49,09:04:22,4,1,33,0,35
5,2.23,10.38,09:04:27,09:05:00,4,3,33,1,20
3,8.62,5.02,09:05:05,09:05:38,4,4,33,2,23
2,4.25,5.63,09:05:43,09:06:16,4,2,33,1,20
3,2.67,2.73,09:06:21,09:06:54,4,1,33,1,20
13,1.97,24.65,09:06:59,09:07:32,4,3,33,0,35
7,2.62,27.37,09:07:37,09:08:10,4,4,33,0,35
8,2.42,15.05,09:08:15,09:08:48,4,2,33,0,35
3,10.88,1.86,09:08:53,09:09:26,4,1,33,2,32
8,3.75,10.36,09:09:31,09:10:04,4,3,33,0,35
4,2.36,10.82,09:10:09,09:10:42,4,4,33,1,20
5,5.4,14.8,09:10:47,09:11:20,4,2,33,1,20
6,1.25,7.05,09:11:25,09:11:58,4,1,33,1,20
3,1.42,3.23,09:12:03,09:12:36,4,3,33,1,20
4,2.56,6.86,09:12:41,09:13:14,4,4,33,1,20
3,11.33,6.19,09:13:19,09:13:52,4,2,33,2,33
7,1.9,10.84,09:13:57,09:14:30,4,1,33,1,20
5,4.6,4.96,09:14:35,09:15:08,4,3,33,1,20
3,1.46,4.21,09:15:13,09:15:46,4,4,33,1,20
4,3.08,10.05,09:15:51,09:16:24,4,2,33,1,20
2,0.67,2.59,09:16:29,09:17:02,4,1,33,1,20
10,2.46,25.41,09:17:07,09:17:40,4,3,33,0,35
3,1.92,5.74,09:17:45,09:18:18,4,4,33,1,20
8,1.96,16.94,09:18:23,09:18:56,4,2,33,0,35
2,0.17,2.35,09:19:01,09:19:34,4,1,33,1,20
14,2.06,19.66,09:19:39,09:20:12,4,3,33,0,35
8,3.96,13.72,09:20:17,09:20:50,4,4,33,0,35
1,0.0,5.13,09:20:55,09:21:28,4,2,33,1,20
3,3.83,2.88,09:21:33,09:22:06,4,1,33,1,20
6,2.12,9.08,09:22:11,09:22:44,4,3,33,1,24
6,1.67,11.06,09:22:49,09:23:22,4,4,33,1,20
4,3.11,13.86,09:23:27,09:24:00,4,2,33,1,20
4,2.03,4.04,09:24:05,09:24:38,4,1,33,1,20
8,1.54,14.6,09:24:43,09:25:16,4,3,33,0,35
5,1.75,9.22,09:25:21,09:25:54,4,4,33,1,20
4,5.06,9.58,09:25:59,09:26:32,4,2,33,1,20
5,0.75,6.06,09:26:37,09:27:10,4,1,33,1,20
6,5.3,7.46,09:27:15,09:27:48,4,3,33,1,24
9,2.19,21.06,09:27:53,09:28:26,4,4,33,0,35
3,5.75,12.14,09:28:31,09:29:04,4,2,33,1,20
7,3.97,5.95,09:29:09,09:29:42,4,1,33,1,20
7,3.24,9.34,09:29:47,09:30:20,4,3,33,1,24
6,3.5,13.66,09:30:25,09:30:58,4,4,33,0,35
10,2.31,20.66,09:31:03,09:31:36,4,2,33,0,35
8,3.73,12.09,09:31:41,09:32:14,4,1,33,0,35
3,2.29,5.37,09:32:19,09:32:52,4,3,33,1,20
2,14.58,2.27,09:32:57,09:33:30,4,4,33,2,27
4,5.47,6.25,09:33:35,09:34:08,4,2,33,1,28
3,3.33,2.1,09:34:13,09:34:46,4,1,33,1,20
6,4.83,18.4,09:34:51,09:35:24,4,3,33,0,35
3,7.17,6.22,09:35:29,09:36:02,4,4,33,2,27
8,2.56,15.66,09:36:07,09:36:40,4,2,33,0,35
9,1.86,10.5,09:36:45,09:37:18,4,1,33,0,35
6,1.97,11.84,09:37:23,09:37:56,4,3,33,1,20
6,5.63,8.25,09:38:01,09:38:34,4,4,33,1,27
6,4.9,8.92,09:38:39,09:39:12,4,2,33,1,28
4,8.36,3.27,09:39:17,09:39:50,4,1,33,2,33
8,3.57,12.69,09:39:55,09:40:28,4,3,33,0,35
4,2.89,9.08,09:40:33,09:41:06,4,4,33,1,27
10,1.54,15.56,09:41:11,09:41:44,4,2,33,0,35
10,1.8,9.89,09:41:49,09:42:22,4,1,33,0,35
4,3.19,14.52,09:42:27,09:43:00,4,3,33,1,20
6,5.43,11.36,09:43:05,09:43:38,4,4,33,1,27
8,2.33,23.3,09:43:43,09:44:16,4,2,33,0,35
11,1.57,12.29,09:44:21,09:44:54,4,1,33,0,35
8,2.6,15.2,09:44:59,09:45:32,4,3,33,0,35
8,1.75,15.1,09:45:37,09:46:10,4,4,33,0,35
6,2.33,15.1,09:46:15,09:46:48,4,2,33,0,35
9,3.29,8.28,09:46:53,09:47:26,4,1,33,0,35
3,1.42,4.88,09:47:31,09:48:04,4,3,33,1,20
9,2.02,21.1,09:48:09,09:48:42,4,4,33,0,35
12,1.92,20.02,09:48:47,09:49:20,4,2,33,0,35
6,4.53,5.9,09:49:25,09:49:58,4,1,33,1,20
6,1.77,12.11,09:50:03,09:50:36,4,3,33,1,20
7,1.67,14.15,09:50:41,09:51:14,4,4,33,0,35
5,4.9,12.13,09:51:19,09:51:52,4,2,33,1,20
6,1.57,5.75,09:51:57,09:52:30,4,1,33,1,20
10,3.48,14.96,09:52:35,09:53:08,4,3,33,0,35
11,1.65,21.83,09:53:13,09:53:46,4,4,33,0,35
7,4.62,11.27,09:53:51,09:54:24,4,2,33,1,20
5,1.12,3.82,09:54:29,09:55:02,4,1,33,1,20
7,1.61,12.35,09:55:07,09:55:40,4,3,33,0,35
6,3.15,10.9,09:55:45,09:56:18,4,4,33,1,20
4,2.92,13.37,09:56:23,09:56:56,4,2,33,1,20
1,0.0,2.37,09:57:01,09:57:34,4,1,33,1,20
6,4.57,15.39,09:57:39,09:58:12,4,3,33,0,35
11,1.7,24.22,09:58:17,09:58:50,4,4,33,0,35
2,0.08,4.69,09:58:55,09:59:28,4,2,33,1,20
1,0.0,1.05,09:59:33,10:00:06,4,1,33,1,20
6,2.65,10.94,10:00:11,10:00:44,4,3,33,1,20
6,3.52,23.69,10:00:49,10:01:22,4,4,33,0,35
2,2.42,6.65,10:01:27,10:02:00,4,2,33,1,20
3,7.29,4.13,10:02:05,10:02:38,4,1,33,2,22
4,3.25,7.91,10:02:43,10:03:16,4,3,33,1,20
12,1.61,18.83,10:03:21,10:03:54,4,4,33,0,35
5,5.02,8.47,10:03:59,10:04:32,4,2,33,1,20
6,4.55,4.83,10:04:37,10:05:10,4,1,33,1,20
5,4.25,8.24,10:05:15,10:05:48,4,3,33,1,20
6,2.22,11.05,10:05:53,10:06:26,4,4,33,1,20
4,2.69,6.39,10:06:31,10:07:04,4,2,33,1,20
9,1.81,8.6,10:07:09,10:07:42,4,1,33,0,35
9,2.95,13.48,10:07:47,10:08:20,4,3,33,0,35
10,2.81,18.24,10:08:25,10:08:58,4,4,33,0,35
3,6.54,9.06,10:09:03,10:09:36,4,2,33,1,20
8,2.24,10.85,10:09:41,10:10:14,4,1,33,0,35
10,2.7,12.9,10:10:19,10:10:52,4,3,33,0,35
7,3.67,12.5,10:10:57,10:11:30,4,4,33,0,35
5,4.88,9.63,10:11:35,10:12:08,4,2,33,1,20
5,1.81,7.0,10:12:13,10:12:46,4,1,33,1,20
5,3.06,6.09,10:12:51,10:13:24,4,3,33,1,20
4,1.92,12.68,10:13:29,10:14:02,4,4,33,1,20
7,3.76,15.0,10:14:07,10:14:40,4,2,33,0,35
12,1.73,14.19,10:14:45,10:15:18,4,1,33,0,35
4,5.64,8.81,10:15:23,10:15:56,4,3,33,1,24
5,3.44,8.7,10:16:01,10:16:34,4,4,33,1,20
9,1.69,15.21,10:16:39,10:17:12,4,2,33,0,35
7,2.04,6.47,10:17:17,10:17:50,4,1,33,1,20
11,2.92,14.58,10:17:55,10:18:28,4,3,33,0,35
6,3.15,9.52,10:18:33,10:19:06,4,4,33,1,20
6,2.22,12.63,10:19:11,10:19:44,4,2,33,1,20
2,5.33,2.94,10:19:49,10:20:22,4,1,33,1,20
10,2.43,18.92,10:20:27,10:21:00,4,3,33,0,35
5,2.29,12.34,10:21:05,10:21:38,4,4,33,1,20
6,2.82,14.27,10:21:43,10:22:16,4,2,33,0,35
3,2.04,2.27,10:22:21,10:22:54,4,1,33,1,20
7,3.53,11.44,10:22:59,10:23:32,4,3,33,1,24
8,2.08,29.01,10:23:37,10:24:10,4,4,33,0,35
9,1.59,14.26,10:24:15,10:24:48,4,2,33,0,35
3,13.83,6.35,10:24:53,10:25:26,4,1,33,2,40
6,3.43,8.01,10:25:31,10:26:04,4,3,33,1,24
6,1.93,7.5,10:26:09,10:26:42,4,4,33,1,20
9,3.3,19.59,10:26:47,10:27:20,4,2,33,0,35
4,3.75,4.08,10:27:25,10:27:58,4,1,33,1,20
6,3.07,9.83,10:28:03,10:28:36,4,3,33,1,24
4,1.5,4.87,10:28:41,10:29:14,4,4,33,1,20
2,2.5,8.15,10:29:19,10:29:52,4,2,33,1,20
3,13.04,2.21,10:29:57,10:30:30,4,1,33,2,40
7,4.58,12.22,10:30:35,10:31:08,4,3,33,0,37
6,2.1,11.91,10:31:13,10:31:46,4,4,33,1,20
5,1.67,9.98,10:31:51,10:32:24,4,2,33,1,20
6,3.7,4.37,10:32:29,10:33:02,4,1,33,1,20
4,3.64,7.81,10:33:07,10:33:40,4,3,33,1,20
4,3.53,11.49,10:33:45,10:34:18,4,4,33,1,20
6,2.13,11.74,10:34:23,10:34:56,4,2,33,1,20
5,1.35,4.53,10:35:01,10:35:34,4,1,33,1,20
5,2.25,7.06,10:35:39,10:36:12,4,3,33,1,20
4,2.44,9.92,10:36:17,10:36:50,4,4,33,1,20
5,4.21,8.39,10:36:55,10:37:28,4,2,33,1,20
7,1.5,7.41,10:37:33,10:38:06,4,1,33,1,20
12,2.47,18.08,10:38:11,10:38:44,4,3,33,0,37
8,1.74,10.17,10:38:49,10:39:22,4,4,33,0,35
10,1.68,16.12,10:39:27,10:40:00,4,2,33,0,35
8,4.31,5.9,10:40:05,10:40:38,4,1,33,1,20
11,2.43,19.68,10:40:43,10:41:16,4,3,33,0,37
9,1.93,20.77,10:41:21,10:41:54,4,4,33,0,35
8,3.32,14.02,10:41:59,10:42:32,4,2,33,0,35
6,3.48,5.69,10:42:37,10:43:10,4,1,33,1,20
11,2.77,20.42,10:43:15,10:43:48,4,3,33,0,37
10,3.15,11.87,10:43:53,10:44:26,4,4,33,0,35
16,1.53,28.73,10:44:31,10:45:04,4,2,33,0,35
1,0.0,1.81,10:45:09,10:45:42,4,1,33,1,20
12,2.18,17.92,10:45:47,10:46:20,4,3,33,0,35
5,6.19,8.36,10:46:25,10:46:58,4,4,33,1,20
5,2.73,12.3,10:47:03,10:47:36,4,2,33,1,20
3,4.42,6.32,10:47:41,10:48:14,4,1,33,1,20
5,5.77,5.94,10:48:19,10:48:52,4,3,33,1,32
1,0.0,3.13,10:48:57,10:49:30,4,4,33,1,20
9,1.6,20.99,10:49:35,10:50:08,4,2,33,0,35
6,1.67,8.09,10:50:13,10:50:46,4,1,33,1,20
10,2.85,23.12,10:50:51,10:51:24,4,3,33,0,35
2,1.08,3.59,10:51:29,10:52:02,4,4,33,1,20
7,2.26,15.19,10:52:07,10:52:40,4,2,33,0,35
4,7.64,3.04,10:52:45,10:53:18,4,1,33,2,30
5,7.0,8.3,10:53:23,10:53:56,4,3,33,1,32
4,2.31,7.34,10:54:01,10:54:34,4,4,33,1,20
5,2.23,7.76,10:54:39,10:55:12,4,2,33,1,20
7,1.81,7.28,10:55:17,10:55:50,4,1,33,1,20
8,2.06,11.23,10:55:55,10:56:28,4,3,33,0,35
13,1.61,24.34,10:56:33,10:57:06,4,4,33,0,35
7,2.53,13.4,10:57:11,10:57:44,4,2,33,0,35
12,1.88,14.04,10:57:49,10:58:22,4,1,33,0,35
7,2.64,11.18,10:58:27,10:59:00,4,3,33,1,32
8,2.13,14.97,10:59:05,10:59:38,4,4,33,0,35
3,3.58,8.21,10:59:43,11:00:16,4,2,33,1,20
2,4.25,2.89,11:00:21,11:00:54,4,1,33,1,21
4,2.61,2.58,11:00:59,11:01:32,4,3,33,1,20
5,1.85,10.38,11:01:37,11:02:10,4,4,33,1,20
6,5.03,11.28,11:02:15,11:02:48,4,2,33,1,30
13,2.37,13.48,11:02:53,11:03:26,4,1,33,0,35
4,3.06,16.75,11:03:31,11:04:04,4,3,33,1,20
7,2.67,15.15,11:04:09,11:04:42,4,4,33,0,35
4,8.17,9.77,11:04:47,11:05:20,4,2,33,2,32
6,5.87,7.56,11:05:25,11:05:58,4,1,33,1,21
11,2.01,19.77,11:06:03,11:06:36,4,3,33,0,35
12,2.39,21.44,11:06:41,11:07:14,4,4,33,0,35
5,4.92,10.12,11:07:19,11:07:52,4,2,33,1,30
4,9.5,4.93,11:07:57,11:08:30,4,1,33,2,37
15,1.92,22.35,11:08:35,11:09:08,4,3,33,0,35
12,2.3,18.27,11:09:13,11:09:46,4,4,33,0,35
10,2.01,18.6,11:09:51,11:10:24,4,2,33,0,35
7,1.83,8.26,11:10:29,11:11:02,4,1,33,1,21
8,3.24,11.68,11:11:07,11:11:40,4,3,33,0,35
11,1.96,18.69,11:11:45,11:12:18,4,4,33,0,35
9,2.97,16.68,11:12:23,11:12:56,4,2,33,0,35
13,1.4,16.86,11:13:01,11:13:34,4,1,33,0,35
9,2.3,24.09,11:13:39,11:14:12,4,3,33,0,35
8,1.96,15.0,11:14:17,11:14:50,4,4,33,0,35
7,1.9,18.86,11:14:55,11:15:28,4,2,33,0,35
1,0.0,1.87,11:15:33,11:16:06,4,1,33,1,20
7,2.97,14.31,11:16:11,11:16:44,4,3,33,0,35
9,2.9,12.97,11:16:49,11:17:22,4,4,33,0,35
7,2.44,10.82,11:17:27,11:18:00,4,2,33,1,25
9,1.74,10.9,11:18:05,11:18:38,4,1,33,0,55
5,5.4,14.48,11:18:43,11:19:16,4,3,33,1,29
7,4.14,9.75,11:19:21,11:19:54,4,4,33,1,20
5,5.21,11.85,11:19:59,11:20:32,4,2,33,1,25
6,1.48,8.17,11:20:37,11:21:10,4,1,33,1,20
7,1.28,11.82,11:21:15,11:21:48,4,3,33,0,35
9,2.55,22.65,11:21:53,11:22:26,4,4,33,0,35
4,3.69,7.73,11:22:31,11:23:04,4,2,33,1,25
5,1.31,32.09,11:23:09,11:23:42,4,1,33,0,55
10,2.83,15.34,11:23:47,11:24:20,4,3,33,0,35
3,9.54,6.41,11:24:25,11:24:58,4,4,33,2,28
9,1.78,12.48,11:25:03,11:25:36,4,2,33,0,35
0,0.0,27.14,11:25:41,11:26:14,4,1,33,0,55
14,2.18,28.84,11:26:19,11:26:52,4,3,33,0,35
1,0.0,4.35,11:26:57,11:27:30,4,4,33,1,20
7,4.78,11.4,11:27:35,11:28:08,4,2,33,1,25
7,1.46,29.26,11:28:13,11:28:46,4,1,33,0,55
12,2.29,18.67,11:28:51,11:29:24,4,3,33,0,35
1,0.0,3.35,11:29:29,11:30:02,4,4,33,1,20
3,5.96,6.51,11:30:07,11:30:40,4,2,33,1,22
7,4.15,9.14,11:30:45,11:31:18,4,1,33,1,20
9,1.45,11.29,11:31:23,11:31:56,4,3,33,0,35
7,2.36,28.16,11:32:01,11:32:34,4,4,33,0,35
3,14.12,6.06,11:32:39,11:33:12,4,2,33,2,36
4,1.53,5.2,11:33:17,11:33:50,4,1,33,1,20
7,4.07,11.64,11:33:55,11:34:28,4,3,33,1,20
9,1.73,26.63,11:34:33,11:35:06,4,4,33,0,35
6,3.4,10.68,11:35:11,11:35:44,4,2,33,1,22
9,1.55,10.27,11:35:49,11:36:22,4,1,33,0,35
9,1.82,14.11,11:36:27,11:37:00,4,3,33,0,35
10,3.22,45.27,11:37:05,11:37:38,4,4,33,0,35
8,3.5,11.92,11:37:43,11:38:16,4,2,33,0,35
10,1.68,9.36,11:38:21,11:38:54,4,1,33,0,35
2,1.25,2.26,11:38:59,11:39:32,4,3,33,1,20
11,1.86,22.93,11:39:37,11:40:10,4,4,33,0,35
3,10.29,7.01,11:40:15,11:40:48,4,2,33,2,36
9,1.62,10.91,11:40:53,11:41:26,4,1,33,0,35
8,3.75,21.45,11:41:31,11:42:04,4,3,33,0,35
10,1.94,19.72,11:42:09,11:42:42,4,4,33,0,35
7,1.69,12.82,11:42:47,11:43:20,4,2,33,0,35
3,2.12,2.69,11:43:25,11:43:58,4,1,33,1,20
3,6.04,2.26,11:44:03,11:44:36,4,3,33,1,20
7,2.58,14.63,11:44:41,11:45:14,4,4,33,0,35
2,0.0,4.45,11:45:19,11:45:52,4,2,33,1,20
4,8.14,7.36,11:45:57,11:46:30,4,1,33,2,32
9,2.15,14.06,11:46:35,11:47:08,4,3,33,0,35
13,1.36,26.37,11:47:13,11:47:46,4,4,33,0,35
1,0.0,3.34,11:47:51,11:48:24,4,2,33,1,20
8,1.87,9.37,11:48:29,11:49:02,4,1,33,0,35
6,0.95,5.86,11:49:07,11:49:40,4,3,33,1,20
11,1.77,14.88,11:49:45,11:50:18,4,4,33,0,35
4,5.83,7.05,11:50:23,11:50:56,4,2,33,1,20
6,4.9,9.14,11:51:01,11:51:34,4,1,33,1,23
4,2.69,7.19,11:51:39,11:52:12,4,3,33,1,20
5,5.94,10.34,11:52:17,11:52:50,4,4,33,1,28
6,1.88,12.6,11:52:55,11:53:28,4,2,33,1,20
8,1.8,9.8,11:53:33,11:54:06,4,1,33,0,35
7,3.57,7.49,11:54:11,11:54:44,4,3,33,1,20
5,4.44,8.59,11:54:49,11:55:22,4,4,33,1,28
11,2.64,16.77,11:55:27,11:56:00,4,2,33,0,35
5,2.83,4.09,11:56:05,11:56:38,4,1,33,1,23
7,2.01,10.74,11:56:43,11:57:16,4,3,33,1,20
9,2.8,12.73,11:57:21,11:57:54,4,4,33,0,35
5,4.02,11.21,11:57:59,11:58:32,4,2,33,1,20
14,1.93,14.06,11:58:37,11:59:10,4,1,33,0,35
11,2.58,18.84,11:59:15,11:59:48,4,3,33,0,35
6,1.87,13.45,11:59:53,12:00:26,4,4,33,0,35
6,4.4,9.52,12:00:31,12:01:04,4,2,33,1,23
6,2.82,5.87,12:01:09,12:01:42,4,1,33,1,20
11,2.04,16.61,12:01:47,12:02:20,4,3,33,0,35
9,3.4,21.68,12:02:25,12:02:58,4,4,33,0,35
6,2.9,12.87,12:03:03,12:03:36,4,2,33,1,23
2,21.08,2.95,12:03:41,12:04:14,4,1,33,2,40
8,2.63,17.37,12:04:19,12:04:52,4,3,33,0,35
8,4.08,16.58,12:04:57,12:05:30,4,4,33,0,35
13,2.41,16.68,12:05:35,12:06:08,4,2,33,0,35
12,1.2,11.1,12:06:13,12:06:46,4,1,33,0,35
14,2.01,22.07,12:06:51,12:07:24,4,3,33,0,35
7,1.42,12.09,12:07:29,12:08:02,4,4,33,0,35
9,1.84,16.05,12:08:07,12:08:40,4,2,33,0,35
11,1.52,13.09,12:08:45,12:09:18,4,1,33,0,35
4,2.72,7.75,12:09:23,12:09:56,4,3,33,1,20
4,2.64,8.42,12:10:01,12:10:34,4,4,33,1,20
5,1.63,22.42,12:10:39,12:11:12,4,2,33,0,35
9,2.12,15.01,12:11:17,12:11:50,4,1,33,0,35
9,3.16,11.4,12:11:55,12:12:28,4,3,33,0,35
12,2.87,21.89,12:12:33,12:13:06,4,4,33,0,35
8,2.58,12.29,12:13:11,12:13:44,4,2,33,0,35
5,1.85,4.13,12:13:49,12:14:22,4,1,33,1,20
10,1.91,17.88,12:14:27,12:15:00,4,3,33,0,35
15,1.75,32.31,12:15:05,12:15:38,4,4,33,0,35
8,1.67,13.52,12:15:43,12:16:16,4,2,33,0,35
3,8.88,1.73,12:16:21,12:16:54,4,1,33,2,26
9,2.34,15.15,12:16:59,12:17:32,4,3,33,0,35
7,1.83,15.46,12:17:37,12:18:10,4,4,33,0,35
11,1.93,21.21,12:18:15,12:18:48,4,2,33,0,35
8,1.69,11.83,12:18:53,12:19:26,4,1,33,0,35
3,2.29,4.03,12:19:31,12:20:04,4,3,33,1,20
5,2.71,9.72,12:20:09,12:20:42,4,4,33,1,20
3,2.62,8.35,12:20:47,12:21:20,4,2,33,1,20
10,1.6,10.67,12:21:25,12:21:58,4,1,33,0,35
4,2.47,6.29,12:22:03,12:22:36,4,3,33,1,20
1,0.0,1.2,12:22:41,12:23:14,4,4,33,1,20
7,2.81,11.94,12:23:19,12:23:52,4,2,33,0,35
9,2.7,12.3,12:23:57,12:24:30,4,1,33,0,35
12,1.64,16.57,12:24:35,12:25:08,4,3,33,0,35
6,2.52,5.35,12:25:13,12:25:46,4,4,33,1,20
1,0.0,8.92,12:25:51,12:26:24,4,2,33,1,20
5,1.73,9.0,12:26:29,12:27:02,4,1,33,1,20
5,2.6,10.74,12:27:07,12:27:40,4,3,33,1,20
6,4.88,12.54,12:27:45,12:28:18,4,4,33,1,20
8,1.68,14.99,12:28:23,12:28:56,4,2,33,0,35
9,1.53,7.96,12:29:01,12:29:34,4,1,33,0,35
3,1.67,3.57,12:29:39,12:30:12,4,3,33,1,20
10,2.76,15.2,12:30:17,12:30:50,4,4,33,0,35
1,0.0,4.09,12:30:55,12:31:28,4,2,33,1,20
5,1.83,3.93,12:31:33,12:32:06,4,1,33,1,20
