Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,Semaforo_ID
14,1.47,29.23,11:06:21,11:06:54,2,4,2
3,6.25,2.87,11:06:59,11:07:32,2,2,3
9,2.57,19.12,11:07:37,11:08:10,2,1,4
6,2.28,20.69,11:08:15,11:08:48,2,3,1
6,3.05,22.36,11:08:53,11:09:26,2,4,2
2,16.33,5.4,11:09:31,11:10:04,2,2,3
1,0.0,1.36,11:10:09,11:10:42,2,1,4
9,2.19,15.2,11:10:47,11:11:20,2,3,1
14,1.81,25.18,11:11:25,11:11:58,2,4,2
10,1.99,15.9,11:12:03,11:12:36,2,2,3
6,3.95,10.57,11:12:41,11:13:14,2,1,4
10,3.24,18.64,11:13:19,11:13:52,2,3,1
9,1.8,18.94,11:13:57,11:14:30,2,4,2
8,1.56,20.47,11:14:35,11:15:08,2,2,3
3,14.92,4.03,11:15:13,11:15:46,2,1,4
10,2.96,15.88,11:15:51,11:16:24,2,3,1
5,4.12,17.26,11:16:29,11:17:02,2,4,2
6,2.72,15.97,11:17:07,11:17:40,2,2,3
10,2.62,10.53,11:17:45,11:18:18,2,1,4
7,4.44,10.36,11:18:23,11:18:56,2,3,1
6,4.67,21.52,11:19:01,11:19:34,2,4,2
6,2.0,11.33,11:19:39,11:20:12,2,2,3
4,1.97,4.2,11:20:17,11:20:50,2,1,4
9,2.59,25.7,11:20:55,11:21:28,2,3,1
5,2.62,15.55,11:21:33,11:22:06,2,4,2
9,1.45,20.43,11:22:11,11:22:44,2,2,3
9,1.64,6.01,11:22:49,11:23:22,2,1,4
5,2.21,12.01,11:23:27,11:24:00,2,3,1
9,2.17,18.19,11:24:05,11:24:38,2,4,2
10,2.59,24.12,11:24:43,11:25:16,2,2,3
6,2.32,9.84,11:25:21,11:25:54,2,1,4
9,2.06,15.57,11:25:59,11:26:32,2,3,1
8,2.06,20.96,11:26:37,11:27:10,2,4,2
4,4.36,6.87,11:27:15,11:27:48,2,2,3
3,3.12,5.8,11:27:53,11:28:26,2,1,4
9,2.17,13.89,11:28:31,11:29:04,2,3,1
6,1.87,17.89,11:29:09,11:29:42,2,4,2
2,5.0,4.31,11:29:47,11:30:20,2,2,3
1,0.0,1.24,11:30:25,11:30:58,2,1,4
8,3.93,13.45,11:31:03,11:31:36,2,3,1
9,2.05,22.87,11:31:41,11:32:14,2,4,2
5,3.85,7.21,11:32:19,11:32:52,2,2,3
7,3.65,6.04,11:32:57,11:33:30,2,1,4
10,2.03,15.54,11:33:35,11:34:08,2,3,1
6,1.85,20.13,11:34:13,11:34:46,2,4,2
3,4.92,9.87,11:34:51,11:35:24,2,2,3
11,2.22,6.58,11:35:29,11:36:02,2,1,4
5,5.83,17.69,11:36:07,11:36:40,2,3,1
6,1.3,18.72,11:36:45,11:37:18,2,4,2
4,1.94,14.49,11:37:23,11:37:56,2,2,3
9,3.48,8.16,11:38:01,11:38:34,2,1,4
6,3.93,12.04,11:38:39,11:39:12,2,3,1
3,3.46,15.53,11:39:17,11:39:50,2,4,2
0,0.0,4.06,11:39:55,11:40:28,2,2,3
4,2.61,6.54,11:40:33,11:41:06,2,1,4
7,5.06,18.25,11:41:11,11:41:44,2,3,1
5,3.71,19.93,11:41:49,11:42:22,2,4,2
12,1.67,18.52,11:42:27,11:43:00,2,2,3
5,2.77,5.23,11:43:05,11:43:38,2,1,4
9,2.12,15.13,11:43:43,11:44:16,2,3,1
5,2.77,22.79,11:44:21,11:44:54,2,4,2
2,0.83,5.06,11:44:59,11:45:32,2,2,3
9,2.0,9.13,11:45:37,11:46:10,2,1,4
9,3.18,18.87,11:46:15,11:46:48,2,3,1
15,1.44,37.83,11:46:53,11:47:26,2,4,2
10,2.69,16.63,11:47:31,11:48:04,2,2,3
2,2.83,1.81,11:48:09,11:48:42,2,1,4
7,3.85,12.78,11:48:47,11:49:20,2,3,1
14,1.23,23.29,11:49:25,11:49:58,2,4,2
3,4.46,7.05,11:50:03,11:50:36,2,2,3
3,2.75,4.05,11:50:41,11:51:14,2,1,4
4,1.75,5.95,11:51:19,11:51:52,2,3,1
9,3.52,22.04,11:51:57,11:52:30,2,4,2
1,0.0,5.08,11:52:35,11:53:08,2,2,3
9,1.54,9.84,11:53:13,11:53:46,2,1,4
6,4.03,9.0,11:53:51,11:54:24,2,3,1
4,4.42,10.6,11:54:29,11:55:02,2,4,2
8,3.55,13.66,11:55:07,11:55:40,2,2,3
5,1.98,9.4,11:55:45,11:56:18,2,1,4
8,2.0,16.11,11:56:23,11:56:56,2,3,1
8,3.37,19.45,11:57:01,11:57:34,2,4,2
4,2.94,9.89,11:57:39,11:58:12,2,2,3
9,3.08,6.92,11:58:17,11:58:50,2,1,4
8,3.73,14.14,11:58:55,11:59:28,2,3,1
5,2.31,13.44,11:59:33,12:00:06,2,4,2
3,7.38,6.92,12:00:11,12:00:44,2,2,3
4,2.64,4.28,12:00:49,12:01:22,2,1,4
16,1.84,26.09,12:01:27,12:02:00,2,3,1
9,1.59,22.66,12:02:05,12:02:38,2,4,2
6,3.48,11.6,12:02:43,12:03:16,2,2,3
5,4.54,3.15,12:03:21,12:03:54,2,1,4
7,3.21,13.56,12:03:59,12:04:32,2,3,1
