Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,Semaforo_ID
3,5.08,5.47,10:48:06,10:48:39,1,2,3
9,3.44,15.06,10:48:44,10:49:17,1,1,4
4,3.14,10.61,10:49:22,10:49:55,1,3,1
0,0.0,54.99,10:50:00,10:50:33,1,4,2
3,7.96,2.67,10:50:38,10:51:11,1,2,3
4,4.64,6.35,10:51:16,10:51:49,1,1,4
4,2.61,6.75,10:51:54,10:52:27,1,3,1
8,2.38,19.23,10:52:32,10:53:05,1,4,2
2,20.33,3.42,10:53:10,10:53:43,1,2,3
5,5.65,6.34,10:53:48,10:54:21,1,1,4
3,8.42,7.86,10:54:26,10:54:59,1,3,1
11,1.72,23.96,10:55:04,10:55:37,1,4,2
3,3.25,5.7,10:55:42,10:56:15,1,2,3
3,9.04,3.5,10:56:20,10:56:53,1,1,4
4,2.94,9.42,10:56:58,10:57:31,1,3,1
8,2.24,16.69,10:57:36,10:58:09,1,4,2
4,7.0,4.17,10:58:14,10:58:47,1,2,3
6,2.4,10.46,10:58:52,10:59:25,1,1,4
6,4.0,13.23,10:59:30,11:00:03,1,3,1
11,1.27,17.59,11:00:08,11:00:41,1,4,2
2,2.42,3.94,11:00:46,11:01:19,1,2,3
6,3.6,9.83,11:01:24,11:01:57,1,1,4
6,2.03,13.34,11:02:02,11:02:35,1,3,1
9,2.57,17.09,11:02:40,11:03:13,1,4,2
3,12.33,4.33,11:03:18,11:03:51,1,2,3
9,2.57,10.78,11:03:56,11:04:29,1,1,4
12,1.93,24.75,11:04:34,11:05:07,1,3,1
11,1.98,20.03,11:05:12,11:05:45,1,4,2
4,3.56,3.49,11:05:50,11:06:23,1,2,3
4,1.58,5.52,11:06:28,11:07:01,1,1,4
6,1.6,10.23,11:07:06,11:07:39,1,3,1
8,2.21,15.47,11:07:44,11:08:17,1,4,2
5,5.25,7.21,11:08:22,11:08:55,1,2,3
6,3.93,10.15,11:09:00,11:09:33,1,1,4
11,1.97,25.69,11:09:38,11:10:11,1,3,1
13,1.81,26.98,11:10:16,11:10:49,1,4,2
2,2.92,4.53,11:10:54,11:11:27,1,2,3
4,2.83,4.5,11:11:32,11:12:05,1,1,4
8,3.86,12.45,11:12:10,11:12:43,1,3,1
7,1.89,14.37,11:12:48,11:13:21,1,4,2
4,5.61,6.53,11:13:26,11:13:59,1,2,3
7,2.65,9.57,11:14:04,11:14:37,1,1,4
9,2.94,23.95,11:14:42,11:15:15,1,3,1
6,4.7,12.1,11:15:20,11:15:53,1,4,2
1,0.0,3.9,11:15:58,11:16:31,1,2,3
9,1.94,9.71,11:16:36,11:17:09,1,1,4
11,2.26,21.86,11:17:14,11:17:47,1,3,1
4,1.94,12.19,11:17:52,11:18:25,1,4,2
11,2.14,10.0,11:18:30,11:19:03,1,2,3
6,4.75,5.49,11:19:08,11:19:41,1,1,4
5,4.06,9.09,11:19:46,11:20:19,1,3,1
1,0.0,5.8,11:20:24,11:20:57,1,4,2
7,1.9,8.3,11:21:02,11:21:35,1,2,3
7,2.32,8.78,11:21:40,11:22:13,1,1,4
3,6.33,6.94,11:22:18,11:22:51,1,3,1
7,1.75,15.99,11:22:56,11:23:29,1,4,2
4,1.53,6.1,11:23:34,11:24:07,1,2,3
6,4.5,5.76,11:24:12,11:24:45,1,1,4
3,3.33,6.55,11:24:50,11:25:23,1,3,1
2,3.25,6.21,11:25:28,11:26:01,1,4,2
5,3.19,5.5,11:26:06,11:26:39,1,2,3
5,3.35,5.91,11:26:44,11:27:17,1,1,4
2,17.58,8.79,11:27:22,11:27:55,1,3,1
10,1.51,28.53,11:28:00,11:28:33,1,4,2
3,1.25,5.97,11:28:38,11:29:11,1,2,3
6,4.43,8.08,11:29:16,11:29:49,1,1,4
8,1.88,12.94,11:29:54,11:30:27,1,3,1
7,2.06,15.97,11:30:32,11:31:05,1,4,2
5,1.65,5.72,11:31:10,11:31:43,1,2,3
8,2.9,7.84,11:31:48,11:32:21,1,1,4
6,2.25,12.64,11:32:26,11:32:59,1,3,1
7,1.38,14.36,11:33:04,11:33:37,1,4,2
4,2.56,10.21,11:33:42,11:34:15,1,2,3
8,4.1,8.16,11:34:20,11:34:53,1,1,4
8,4.1,17.71,11:34:58,11:35:31,1,3,1
13,1.26,26.1,11:35:36,11:36:09,1,4,2
11,1.88,13.78,11:36:14,11:36:47,1,2,3
2,2.83,2.06,11:36:52,11:37:25,1,1,4
9,2.49,17.36,11:37:30,11:38:03,1,3,1
8,2.0,20.08,11:38:08,11:38:41,1,4,2
12,1.79,13.07,11:38:46,11:39:19,1,2,3
7,4.94,9.22,11:39:24,11:39:57,1,1,4
7,2.54,14.95,11:40:02,11:40:35,1,3,1
7,2.29,16.47,11:40:40,11:41:13,1,4,2
4,4.44,5.73,11:41:18,11:41:51,1,2,3
6,5.28,7.58,11:41:56,11:42:29,1,1,4
10,2.19,18.44,11:42:34,11:43:07,1,3,1
8,1.71,16.55,11:43:12,11:43:45,1,4,2
4,2.0,8.39,11:43:50,11:44:23,1,2,3
6,1.42,6.3,11:44:28,11:45:01,1,1,4
10,2.47,17.58,11:45:06,11:45:39,1,3,1
5,1.38,16.47,11:45:44,11:46:17,1,4,2
6,5.35,6.0,11:46:22,11:46:55,1,2,3
8,2.27,8.46,11:47:00,11:47:33,1,1,4
6,3.03,15.25,11:47:38,11:48:11,1,3,1
4,3.0,9.62,11:48:16,11:48:49,1,4,2
4,2.33,4.44,11:48:54,11:49:27,1,2,3
2,6.17,1.14,11:49:32,11:50:05,1,1,4
10,2.34,15.99,11:50:10,11:50:43,1,3,1
5,3.52,11.4,11:50:48,11:51:21,1,4,2
3,1.62,2.75,11:51:26,11:51:59,1,2,3
0,0.0,0.65,11:52:04,11:52:37,1,1,4
8,1.79,13.86,11:52:42,11:53:15,1,3,1
1,0.0,6.23,11:53:20,11:53:53,1,4,2
5,3.58,5.46,11:53:58,11:54:31,1,2,3
3,15.17,3.83,11:54:36,11:55:09,1,1,4
8,2.58,15.82,11:55:14,11:55:47,1,3,1
1,0.0,6.69,11:55:52,11:56:25,1,4,2
2,1.75,3.59,11:56:30,11:57:03,1,2,3
14,1.8,15.23,11:57:08,11:57:41,1,1,4
7,2.07,13.61,11:57:46,11:58:19,1,3,1
8,2.8,18.77,11:58:24,11:58:57,1,4,2
5,3.19,4.82,11:59:02,11:59:35,1,2,3
7,1.86,9.15,11:59:40,12:00:13,1,1,4
9,3.14,15.66,12:00:18,12:00:51,1,3,1
6,3.63,26.8,12:00:56,12:01:29,1,4,2
11,1.72,11.68,12:01:34,12:02:07,1,2,3
6,4.97,8.81,12:02:12,12:02:45,1,1,4
8,3.98,14.44,12:02:50,12:03:23,1,3,1
3,0.58,7.72,12:03:28,12:04:01,1,4,2
2,5.0,3.58,12:04:06,12:04:39,1,2,3
6,2.68,11.63,12:04:44,12:05:17,1,1,4
2,0.0,3.75,12:05:22,12:05:55,1,3,1
12,1.56,31.27,12:06:00,12:06:33,1,4,2
8,3.04,11.11,12:06:38,12:07:11,1,2,3
4,4.22,2.97,12:07:16,12:07:49,1,1,4
7,1.96,15.14,12:07:54,12:08:27,1,3,1
13,1.59,23.81,12:08:32,12:09:05,1,4,2
3,1.67,3.23,12:09:10,12:09:43,1,2,3
9,1.77,8.28,12:09:48,12:10:21,1,1,4
15,1.74,31.05,12:10:26,12:10:59,1,3,1
16,1.53,29.3,12:11:04,12:11:37,1,4,2
3,3.29,4.59,12:11:42,12:12:15,1,2,3
13,1.57,14.04,12:12:20,12:12:53,1,1,4
4,2.08,6.99,12:12:58,12:13:31,1,3,1
9,1.98,20.35,12:13:36,12:14:09,1,4,2
4,4.25,9.34,12:14:14,12:14:47,1,2,3
16,1.42,13.63,12:14:52,12:15:25,1,1,4
12,2.55,26.3,12:15:30,12:16:03,1,3,1
11,1.68,22.52,12:16:08,12:16:41,1,4,2
6,2.17,8.7,12:16:46,12:17:19,1,2,3
8,2.88,7.03,12:17:24,12:17:57,1,1,4
7,1.86,11.19,12:18:02,12:18:35,1,3,1
9,1.68,16.67,12:18:40,12:19:13,1,4,2
3,1.04,5.37,12:19:18,12:19:51,1,2,3
9,2.11,9.3,12:19:56,12:20:29,1,1,4
4,2.92,10.32,12:20:34,12:21:07,1,3,1
10,1.38,20.44,12:21:12,12:21:45,1,4,2
4,7.0,6.23,12:21:50,12:22:23,1,2,3
10,1.5,8.09,12:22:28,12:23:01,1,1,4
0,0.0,0.28,12:23:06,12:23:39,1,3,1
3,6.0,10.14,12:23:44,12:24:17,1,4,2
9,1.8,13.88,12:24:22,12:24:55,1,2,3
7,3.01,9.66,12:25:00,12:25:33,1,1,4
7,2.72,9.91,12:25:38,12:26:11,1,3,1
7,3.22,14.35,12:26:16,12:26:49,1,4,2
14,1.67,14.55,12:26:54,12:27:27,1,2,3
7,3.47,7.75,12:27:32,12:28:05,1,1,4
11,2.27,20.91,12:28:10,12:28:43,1,3,1
2,1.58,9.61,12:28:48,12:29:21,1,4,2
4,2.06,5.93,12:29:26,12:29:59,1,2,3
3,2.46,6.35,12:30:04,12:30:37,1,1,4
6,4.37,9.33,12:30:42,12:31:15,1,3,1
1,0.0,2.68,12:31:20,12:31:53,1,4,2
7,2.21,9.18,12:31:58,12:32:31,1,2,3
8,1.62,10.86,12:32:36,12:33:09,1,1,4
10,2.04,17.5,12:33:14,12:33:47,1,3,1
4,2.56,14.74,12:33:52,12:34:25,1,4,2
5,3.31,7.09,12:34:30,12:35:03,1,2,3
3,6.08,2.37,12:35:08,12:35:41,1,1,4
3,1.75,3.07,12:35:46,12:36:19,1,3,1
10,1.42,20.95,12:36:24,12:36:57,1,4,2
8,3.69,9.45,12:37:02,12:37:35,1,2,3
3,8.29,2.99,12:37:40,12:38:13,1,1,4
6,2.6,12.91,12:38:18,12:38:51,1,3,1
7,1.53,18.77,12:38:56,12:39:29,1,4,2
1,0.0,2.1,12:39:34,12:40:07,1,2,3
5,5.54,4.46,12:40:12,12:40:45,1,1,4
5,1.94,7.33,12:40:50,12:41:23,1,3,1
8,2.19,20.93,12:41:28,12:42:01,1,4,2
7,1.33,9.36,12:42:06,12:42:39,1,2,3
7,1.54,10.5,12:42:44,12:43:17,1,1,4
5,4.08,9.45,12:43:22,12:43:55,1,3,1
10,1.58,14.81,12:44:00,12:44:33,1,4,2
6,1.95,6.17,12:44:38,12:45:11,1,2,3
5,6.62,8.08,12:45:16,12:45:49,1,1,4
7,3.38,16.77,12:45:54,12:46:27,1,3,1
8,1.6,14.21,12:46:32,12:47:05,1,4,2
3,1.71,5.28,12:47:10,12:47:43,1,2,3
3,10.33,4.97,12:47:48,12:48:21,1,1,4
3,4.79,9.31,12:48:26,12:48:59,1,3,1
12,1.34,27.12,12:49:04,12:49:37,1,4,2
5,1.65,6.66,12:49:42,12:50:15,1,2,3
7,4.67,10.31,12:50:20,12:50:53,1,1,4
1,0.0,1.31,12:50:58,12:51:31,1,3,1
10,1.43,32.34,12:51:36,12:52:09,1,4,2
7,0.96,8.44,12:52:14,12:52:47,1,2,3
11,2.83,10.75,12:52:52,12:53:25,1,1,4
9,2.7,19.27,12:53:30,12:54:03,1,3,1
6,1.82,14.09,12:54:08,12:54:41,1,4,2
4,2.36,5.57,12:54:46,12:55:19,1,2,3
11,1.79,12.87,12:55:24,12:55:57,1,1,4
9,2.31,19.98,12:56:02,12:56:35,1,3,1
9,1.45,16.76,12:56:40,12:57:13,1,4,2
2,8.5,4.13,12:57:18,12:57:51,1,2,3
6,5.67,5.76,12:57:56,12:58:29,1,1,4
4,7.56,5.55,12:58:34,12:59:07,1,3,1
6,3.55,19.22,12:59:12,12:59:45,1,4,2
4,1.94,5.6,12:59:50,13:00:23,1,2,3
5,5.79,9.9,13:00:28,13:01:01,1,1,4
9,3.2,20.8,13:01:06,13:01:39,1,3,1
9,3.07,21.51,13:01:44,13:02:17,1,4,2
5,2.44,6.65,13:02:22,13:02:55,1,2,3
9,3.0,12.23,13:03:00,13:03:33,1,1,4
11,2.0,20.54,13:03:38,13:04:11,1,3,1
7,1.71,13.22,13:04:16,13:04:49,1,4,2
