Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,Semaforo_ID
5,4.21,6.23,09:32:17,09:32:50,5,2,3
5,3.56,6.32,09:32:55,09:33:28,5,1,4
11,1.55,13.22,09:33:33,09:34:06,5,3,1
10,2.74,13.1,09:34:11,09:34:44,5,4,2
8,4.19,12.45,09:34:49,09:35:22,5,2,3
7,3.21,7.9,09:35:27,09:36:00,5,1,4
6,2.17,11.5,09:36:05,09:36:38,5,3,1
9,3.45,12.09,09:36:43,09:37:16,5,4,2
10,2.25,28.85,09:37:21,09:37:54,5,2,3
3,12.42,3.4,09:37:59,09:38:32,5,1,4
5,7.04,6.46,09:38:37,09:39:10,5,3,1
4,2.64,8.18,09:39:15,09:39:48,5,4,2
3,1.33,8.52,09:39:53,09:40:26,5,2,3
8,2.54,6.09,09:40:31,09:41:04,5,1,4
8,3.62,10.44,09:41:09,09:41:42,5,3,1
7,2.46,10.44,09:41:47,09:42:20,5,4,2
5,2.27,11.5,09:42:25,09:42:58,5,2,3
6,5.05,7.59,09:43:03,09:43:36,5,1,4
2,4.17,1.57,09:43:41,09:44:14,5,3,1
6,2.92,6.99,09:44:19,09:44:52,5,4,2
5,0.79,7.53,09:44:57,09:45:30,5,2,3
7,4.81,8.99,09:45:35,09:46:08,5,1,4
10,2.1,13.99,09:46:13,09:46:46,5,3,1
9,1.7,12.22,09:46:51,09:47:24,5,4,2
2,2.25,5.22,09:47:29,09:48:02,5,2,3
6,2.05,14.85,09:48:07,09:48:40,5,1,4
5,3.21,7.91,09:48:45,09:49:18,5,3,1
8,2.06,9.21,09:49:23,09:49:56,5,4,2
11,2.34,18.12,09:50:01,09:50:34,5,2,3
0,0.0,0.05,09:50:39,09:51:12,5,1,4
13,2.05,21.95,09:51:17,09:51:50,5,3,1
11,1.81,12.81,09:51:55,09:52:28,5,4,2
4,6.17,6.72,09:52:33,09:53:06,5,2,3
1,0.0,1.24,09:53:11,09:53:44,5,1,4
5,1.67,6.05,09:53:49,09:54:22,5,3,1
12,1.69,14.67,09:54:27,09:55:00,5,4,2
7,2.57,10.04,09:55:05,09:55:38,5,2,3
4,2.94,2.32,09:55:43,09:56:16,5,1,4
3,3.0,4.63,09:56:21,09:56:54,5,3,1
8,1.23,12.3,09:56:59,09:57:32,5,4,2
2,1.58,6.45,09:57:37,09:58:10,5,2,3
3,4.04,3.32,09:58:15,09:58:48,5,1,4
2,14.75,3.78,09:58:53,09:59:26,5,3,1
8,2.83,10.39,09:59:31,10:00:04,5,4,2
2,2.83,5.46,10:00:09,10:00:42,5,2,3
4,1.81,3.9,10:00:47,10:01:20,5,1,4
4,8.17,2.99,10:01:25,10:01:58,5,3,1
4,2.22,4.22,10:02:03,10:02:36,5,4,2
4,6.81,7.82,10:02:41,10:03:14,5,2,3
5,5.65,4.49,10:03:19,10:03:52,5,1,4
9,3.36,10.04,10:03:57,10:04:30,5,3,1
8,2.65,11.14,10:04:35,10:05:08,5,4,2
5,5.94,15.18,10:05:13,10:05:46,5,2,3
4,2.31,4.1,10:05:51,10:06:24,5,1,4
8,1.35,9.11,10:06:29,10:07:02,5,3,1
3,4.46,4.01,10:07:07,10:07:40,5,4,2
6,3.62,12.59,10:07:45,10:08:18,5,2,3
12,1.92,12.63,10:08:23,10:08:56,5,1,4
4,5.17,4.17,10:09:01,10:09:34,5,3,1
4,8.61,7.57,10:09:39,10:10:12,5,4,2
9,1.72,13.17,10:10:17,10:10:50,5,2,3
1,0.0,1.17,10:10:55,10:11:28,5,1,4
13,1.33,16.56,10:11:33,10:12:06,5,3,1
1,0.0,3.69,10:12:11,10:12:44,5,4,2
7,1.42,10.07,10:12:49,10:13:22,5,2,3
4,5.28,3.82,10:13:27,10:14:00,5,1,4
6,3.93,11.88,10:14:05,10:14:38,5,3,1
5,1.73,8.67,10:14:43,10:15:16,5,4,2
6,1.88,9.13,10:15:21,10:15:54,5,2,3
5,5.62,2.83,10:15:59,10:16:32,5,1,4
9,1.57,13.19,10:16:37,10:17:10,5,3,1
4,2.47,6.58,10:17:15,10:17:48,5,4,2
8,1.71,12.23,10:17:53,10:18:26,5,2,3
10,2.44,9.91,10:18:31,10:19:04,5,1,4
4,2.28,5.41,10:19:09,10:19:42,5,3,1
6,1.6,4.02,10:19:47,10:20:20,5,4,2
3,11.75,6.26,10:20:25,10:20:58,5,2,3
6,1.67,5.32,10:21:03,10:21:36,5,1,4
9,2.69,10.93,10:21:41,10:22:14,5,3,1
10,1.78,16.93,10:22:19,10:22:52,5,4,2
1,0.0,4.62,10:22:57,10:23:30,5,2,3
7,3.61,5.87,10:23:35,10:24:08,5,1,4
9,2.06,10.2,10:24:13,10:24:46,5,3,1
6,3.52,7.07,10:24:51,10:25:24,5,4,2
6,4.32,15.95,10:25:29,10:26:02,5,2,3
5,1.1,3.85,10:26:07,10:26:40,5,1,4
8,2.94,11.2,10:26:45,10:27:18,5,3,1
9,1.76,16.54,10:27:23,10:27:56,5,4,2
7,1.72,15.79,10:28:01,10:28:34,5,2,3
9,1.99,14.48,10:28:39,10:29:12,5,1,4
10,2.35,11.71,10:29:17,10:29:50,5,3,1
5,2.94,10.69,10:29:55,10:30:28,5,4,2
6,2.28,17.85,10:30:33,10:31:06,5,2,3
4,2.92,11.83,10:31:11,10:31:44,5,1,4
4,3.89,7.42,10:31:49,10:32:22,5,3,1
10,2.07,11.76,10:32:27,10:33:00,5,4,2
2,13.25,3.01,10:33:05,10:33:38,5,2,3
6,2.6,3.92,10:33:43,10:34:16,5,1,4
9,2.47,11.35,10:34:21,10:34:54,5,3,1
5,3.29,7.46,10:34:59,10:35:32,5,4,2
10,1.5,15.96,10:35:37,10:36:10,5,2,3
6,3.03,6.3,10:36:15,10:36:48,5,1,4
2,3.5,4.3,10:36:53,10:37:26,5,3,1
7,2.32,8.25,10:37:31,10:38:04,5,4,2
5,1.17,7.22,10:38:09,10:38:42,5,2,3
3,11.04,3.16,10:38:47,10:39:20,5,1,4
10,1.92,15.04,10:39:25,10:39:58,5,3,1
3,6.25,4.77,10:40:03,10:40:36,5,4,2
7,1.83,14.36,10:40:41,10:41:14,5,2,3
5,4.81,4.78,10:41:19,10:41:52,5,1,4
7,2.53,10.59,10:41:57,10:42:30,5,3,1
7,4.11,8.34,10:42:35,10:43:08,5,4,2
6,1.55,9.46,10:43:13,10:43:46,5,2,3
5,4.73,5.57,10:43:51,10:44:24,5,1,4
3,3.25,4.17,10:44:29,10:45:02,5,3,1
5,4.96,7.78,10:45:07,10:45:40,5,4,2
7,4.94,13.78,10:45:45,10:46:18,5,2,3
8,2.49,12.88,10:46:23,10:46:56,5,1,4
4,3.97,9.82,10:47:01,10:47:34,5,3,1
4,3.28,11.08,10:47:39,10:48:12,5,4,2
5,3.6,14.4,10:48:17,10:48:50,5,2,3
4,9.69,3.4,10:48:55,10:49:28,5,1,4
15,1.9,24.43,10:49:33,10:50:06,5,3,1
8,1.55,11.64,10:50:11,10:50:44,5,4,2
7,3.14,22.16,10:50:49,10:51:22,5,2,3
3,12.71,3.1,10:51:27,10:52:00,5,1,4
10,2.4,15.3,10:52:05,10:52:38,5,3,1
8,1.51,14.1,10:52:43,10:53:16,5,4,2
6,1.93,9.34,10:53:21,10:53:54,5,2,3
11,2.48,11.31,10:53:59,10:54:32,5,1,4
5,1.88,11.53,10:54:37,10:55:10,5,3,1
12,1.39,18.04,10:55:15,10:55:48,5,4,2
8,2.24,10.37,10:55:53,10:56:26,5,2,3
4,1.22,4.45,10:56:31,10:57:04,5,1,4
8,2.04,11.19,10:57:09,10:57:42,5,3,1
8,2.32,9.59,10:57:47,10:58:20,5,4,2
4,6.83,10.94,10:58:25,10:58:58,5,2,3
9,3.48,10.46,10:59:03,10:59:36,5,1,4
9,3.32,11.85,10:59:41,11:00:14,5,3,1
6,1.9,8.71,11:00:19,11:00:52,5,4,2
8,3.45,11.54,11:00:57,11:01:30,5,2,3
10,2.51,9.1,11:01:35,11:02:08,5,1,4
6,6.02,6.68,11:02:13,11:02:46,5,3,1
10,1.9,14.53,11:02:51,11:03:24,5,4,2
4,4.39,5.84,11:03:29,11:04:02,5,2,3
9,1.99,11.0,11:04:07,11:04:40,5,1,4
6,5.12,7.31,11:04:45,11:05:18,5,3,1
15,1.3,20.55,11:05:23,11:05:56,5,4,2
5,1.98,11.89,11:06:01,11:06:34,5,2,3
7,1.72,7.12,11:06:39,11:07:12,5,1,4
12,1.58,20.66,11:07:17,11:07:50,5,3,1
10,2.03,16.77,11:07:55,11:08:28,5,4,2
3,2.29,8.96,11:08:33,11:09:06,5,2,3
7,2.61,7.91,11:09:11,11:09:44,5,1,4
14,1.77,19.53,11:09:49,11:10:22,5,3,1
14,1.4,19.57,11:10:27,11:11:00,5,4,2
5,3.29,12.03,11:11:05,11:11:38,5,2,3
6,3.78,10.04,11:11:43,11:12:16,5,1,4
12,1.86,21.31,11:12:21,11:12:54,5,3,1
1,0.0,3.85,11:12:59,11:13:32,5,4,2
2,0.58,6.85,11:13:37,11:14:10,5,2,3
8,1.55,10.22,11:14:15,11:14:48,5,1,4
8,1.87,8.6,11:14:53,11:15:26,5,3,1
0,0.0,0.63,11:15:31,11:16:04,5,4,2
2,2.17,6.43,11:16:09,11:16:42,5,2,3
7,3.31,5.49,11:16:47,11:17:20,5,1,4
11,2.08,15.77,11:17:25,11:17:58,5,3,1
2,24.33,2.91,11:18:03,11:18:36,5,4,2
5,4.17,16.69,11:18:41,11:19:14,5,2,3
10,2.82,10.46,11:19:19,11:19:52,5,1,4
3,3.29,3.49,11:19:57,11:20:30,5,3,1
